Date,Open,High,Low,Close,Adj Close,Volume
2012-10-15,14.057500,14.252500,13.805000,14.190000,14.183816,4847200
2012-10-16,14.267500,14.850000,14.252500,14.807500,14.801047,5947600
2012-10-17,14.575000,14.912500,14.515000,14.762500,14.756067,5558400
2012-10-18,14.632500,14.772500,14.100000,14.257500,14.251287,7230000
2012-10-19,14.210000,14.232500,13.187500,13.227500,13.221737,11888000
2012-10-22,13.200000,13.542500,13.130000,13.435000,13.429146,8797200
2012-10-23,13.120000,13.400000,12.932500,13.037500,13.031820,11751600
2012-10-24,13.277500,13.342500,12.860000,12.907500,12.901876,8627200
2012-10-25,13.190000,13.245000,12.797500,12.907500,12.901876,9734400
2012-10-26,12.925000,13.185000,12.615000,13.042500,13.036817,8008000
2012-10-31,12.987500,13.045000,12.650000,12.790000,12.784428,6175200
2012-11-01,13.022500,13.407500,12.922500,13.332500,13.326692,7655200
2012-11-02,13.512500,13.532500,12.845000,12.845000,12.839404,7642800
2012-11-05,12.917500,13.230000,12.825000,13.160000,13.154265,6264800
2012-11-06,13.217500,13.497500,13.080000,13.240000,13.234231,7607600
2012-11-07,12.815000,12.850000,12.127500,12.290000,12.284645,15988800
2012-11-08,12.375000,12.477500,11.715000,11.715000,11.709895,12936400
2012-11-09,11.732500,12.237500,11.710000,11.842500,11.837340,18191600
2012-11-12,12.067500,12.102500,11.752500,11.860000,11.854833,6850800
2012-11-13,11.582500,11.942500,11.495000,11.602500,11.597445,14405600
2012-11-14,11.767500,11.810000,11.140000,11.187500,11.182626,12289600
2012-11-15,11.212500,11.332500,10.957500,11.087500,11.082669,12933200
2012-11-16,11.100000,11.315000,10.695000,11.212500,11.207615,15525600
2012-11-19,11.587500,12.050000,11.580000,12.020000,12.014763,14399200
2012-11-20,12.017500,12.082500,11.687500,12.022500,12.017262,9102800
2012-11-21,12.055000,12.160000,11.922500,12.107500,12.102224,6698400
2012-11-23,12.327500,12.662500,12.295000,12.662500,12.656982,5388400
2012-11-26,12.575000,12.837500,12.450000,12.825000,12.819412,8206000
2012-11-27,12.800000,12.950000,12.630000,12.680000,12.674475,14991200
2012-11-28,12.505000,13.045000,12.272500,13.020000,13.014328,11708400
2012-11-29,13.225000,13.385000,13.057500,13.245000,13.239229,10382400
2012-11-30,13.250000,13.285000,13.067500,13.197500,13.191750,9519600
2012-12-03,13.497500,13.527500,13.092500,13.132500,13.126778,14034400
2012-12-04,13.137500,13.162500,12.825000,13.047500,13.041815,14031200
